Date,Open,High,Low,Close,Adj Close,Volume
2019-10-14,5.894200,5.935920,5.891100,5.894300,5.894300,0
2019-10-15,5.929200,5.930100,5.861260,5.927400,5.927400,0
2019-10-16,5.923300,5.930460,5.869170,5.921800,5.921800,0
2019-10-17,5.880600,5.898200,5.850380,5.884100,5.884100,0
2019-10-18,5.812070,5.821400,5.756500,5.817200,5.817200,0
2019-10-21,5.797700,5.860080,5.784500,5.798000,5.798000,0
2019-10-22,5.858200,5.859080,5.795220,5.858520,5.858520,0
2019-10-23,5.799760,5.808100,5.726990,5.799620,5.799620,0
2019-10-24,5.736700,5.777000,5.730660,5.735770,5.735770,0
2019-10-25,5.764900,5.786100,5.751800,5.766100,5.766100,0
2019-10-28,5.771300,5.775300,5.712050,5.772000,5.772000,0
2019-10-29,5.728450,5.748870,5.721500,5.728800,5.728800,0
2019-10-30,5.750900,5.769000,5.700620,5.750900,5.750900,0
2019-10-31,5.701700,5.723860,5.697180,5.701000,5.701000,0
2019-11-01,5.710800,5.737490,5.698810,5.710800,5.710800,0
2019-11-04,5.704600,5.737460,5.682000,5.702800,5.702800,0
2019-11-05,5.731160,5.761000,5.718870,5.733300,5.733300,0
2019-11-06,5.751120,5.767750,5.743500,5.753000,5.753000,0
2019-11-07,5.747430,5.761400,5.732070,5.750300,5.750300,0
2019-11-08,5.756410,5.768600,5.748000,5.765800,5.765800,0
2019-11-11,5.765850,5.791450,5.760990,5.765760,5.765760,0
2019-11-12,5.767490,5.780700,5.763850,5.768760,5.768760,0
2019-11-13,5.774000,5.776100,5.731880,5.771690,5.771690,0
2019-11-14,5.753460,5.778460,5.749510,5.753430,5.753430,0
2019-11-15,5.749700,5.767860,5.736150,5.749400,5.749400,0
2019-11-18,5.745090,5.751300,5.720200,5.744420,5.744420,0
2019-11-19,5.727090,5.740700,5.700410,5.725830,5.725830,0
2019-11-20,5.702600,5.720400,5.683800,5.702300,5.702300,0
2019-11-21,5.699200,5.708460,5.684600,5.699100,5.699100,0
2019-11-22,5.697700,5.721500,5.688500,5.697100,5.697100,0
2019-11-25,5.716500,5.752400,5.703400,5.715040,5.715040,0
2019-11-26,5.741300,5.768800,5.735930,5.741700,5.741700,0
2019-11-27,5.757070,5.789470,5.751000,5.759300,5.759300,0
2019-11-28,5.776580,5.781600,5.759300,5.778600,5.778600,0
2019-11-29,5.758600,5.762790,5.735790,5.758000,5.758000,0
2019-12-02,5.747610,5.761490,5.731000,5.747600,5.747600,0
2019-12-03,5.740230,5.759520,5.726500,5.740230,5.740230,0
2019-12-04,5.742900,5.756900,5.735030,5.742500,5.742500,0
2019-12-05,5.748000,5.767300,5.739900,5.745680,5.745680,0
2019-12-06,5.748100,5.785000,5.742000,5.745330,5.745330,0
2019-12-09,5.779880,5.814900,5.776540,5.778710,5.778710,0
2019-12-10,5.808440,5.816400,5.791570,5.810400,5.810400,0
2019-12-11,5.802800,5.816200,5.794500,5.804900,5.804900,0
2019-12-12,5.799360,5.808100,5.764300,5.803900,5.803900,0
2019-12-13,5.772100,5.824300,5.770130,5.772000,5.772000,0
2019-12-16,5.808300,5.856900,5.808190,5.807050,5.807050,0
2019-12-17,5.847790,5.888400,5.844150,5.848030,5.848030,0
2019-12-18,5.885100,5.922900,5.881900,5.885100,5.885100,0
2019-12-19,5.919900,5.941300,5.904500,5.926500,5.926500,0
2019-12-20,5.940200,5.942600,5.908540,5.940100,5.940100,0
2019-12-23,5.936150,5.949300,5.920000,5.935850,5.935850,0
2019-12-24,5.947300,5.949780,5.932500,5.947200,5.947200,0
2019-12-25,5.947700,5.947700,5.931100,5.947700,5.947700,0
2019-12-26,5.938300,5.945500,5.931390,5.934620,5.934620,0
2019-12-27,5.929930,5.958800,5.926500,5.932300,5.932300,0
2019-12-30,5.948790,5.949700,5.937500,5.948790,5.948790,0
2019-12-31,5.947600,5.950210,5.942000,5.947220,5.947220,0
2020-01-01,5.947800,5.947800,5.946800,5.947800,5.947800,0
2020-01-02,5.946200,5.958400,5.943050,5.946300,5.946300,0
2020-01-03,5.954500,5.976800,5.952000,5.955700,5.955700,0
2020-01-06,5.968060,5.975900,5.963990,5.967960,5.967960,0
2020-01-07,5.968900,5.976280,5.950790,5.969000,5.969000,0
2020-01-08,5.976000,5.983500,5.911330,5.974370,5.974370,0
2020-01-09,5.908800,5.925470,5.855200,5.908900,5.908900,0
2020-01-10,5.878400,5.894800,5.860130,5.877300,5.877300,0
2020-01-13,5.876570,5.877900,5.852050,5.875330,5.875330,0
2020-01-14,5.865700,5.899000,5.861900,5.865500,5.865500,0
2020-01-15,5.883500,5.898130,5.868960,5.887100,5.887100,0
2020-01-16,5.876300,5.890260,5.838300,5.875350,5.875350,0
2020-01-17,5.855100,5.908000,5.847500,5.855100,5.855100,0
2020-01-20,5.892580,5.917950,5.889960,5.890770,5.890770,0
2020-01-21,5.913900,5.935890,5.909980,5.910780,5.910780,0
2020-01-22,5.932700,5.941400,5.916810,5.933100,5.933100,0
2020-01-23,5.921100,5.944800,5.905000,5.919660,5.919660,0
2020-01-24,5.927390,5.946090,5.920500,5.929200,5.929200,0
2020-01-27,5.945290,5.955300,5.935080,5.944780,5.944780,0
2020-01-28,5.942500,5.950900,5.932780,5.942800,5.942800,0
2020-01-29,5.938350,5.967900,5.937500,5.941000,5.941000,0
2020-01-30,5.959900,5.985500,5.956600,5.956660,5.956660,0
2020-01-31,5.976800,5.985160,5.972470,5.974150,5.974150,0
2020-02-03,5.976480,5.984520,5.975400,5.975040,5.975040,0
2020-02-04,5.983500,5.986100,5.961680,5.983600,5.983600,0
2020-02-05,5.976530,5.988350,5.970000,5.977720,5.977720,0
2020-02-06,5.979610,5.987880,5.976400,5.980900,5.980900,0
2020-02-07,5.988900,6.044740,5.978000,5.987700,5.987700,0
2020-02-10,5.986920,6.019940,5.974430,5.986940,5.986940,0
2020-02-11,6.005400,6.048240,6.003750,6.005700,6.005700,0
2020-02-12,6.016500,6.058940,6.004000,6.016000,6.016000,0
2020-02-13,6.044000,6.063700,6.035380,6.044200,6.044200,0
2020-02-14,6.038920,6.065600,6.036800,6.039700,6.039700,0
2020-02-17,6.054340,6.056200,6.037500,6.054200,6.054200,0
2020-02-18,6.046300,6.070850,6.042990,6.046700,6.046700,0
2020-02-19,6.063900,6.084050,6.051430,6.064000,6.064000,0
2020-02-20,6.082800,6.105800,6.079030,6.083000,6.083000,0
2020-02-21,6.102900,6.123900,6.083300,6.102400,6.102400,0
2020-02-24,6.109490,6.158900,6.090930,6.109190,6.109190,0
2020-02-25,6.115700,6.155800,6.073350,6.115200,6.115200,0
2020-02-26,6.147700,6.161510,6.140080,6.147300,6.147300,0
2020-02-27,6.160800,6.185840,6.150100,6.160100,6.160100,0
2020-02-28,6.206910,6.255500,6.203550,6.206770,6.206770,0
2020-03-02,6.249280,6.253620,6.201390,6.249270,6.249270,0
2020-03-03,6.172600,6.219100,6.029400,6.171300,6.171300,0
2020-03-04,6.112000,6.143200,6.062830,6.112200,6.112200,0
2020-03-05,6.080300,6.121700,6.059000,6.079800,6.079800,0
2020-03-06,6.102580,6.126300,6.072550,6.102530,6.102530,0
2020-03-09,6.119370,6.189900,6.092350,6.121080,6.121080,0
2020-03-10,6.156000,6.164180,6.102450,6.157400,6.157400,0
2020-03-11,6.170050,6.200620,6.130050,6.170620,6.170620,0
2020-03-12,6.211000,6.309610,6.208510,6.211100,6.211100,0
2020-03-13,6.315600,6.321240,6.253170,6.316200,6.316200,0
2020-03-16,6.285010,6.420430,6.277620,6.282870,6.282870,0
2020-03-17,6.424900,6.493650,6.383350,6.429300,6.429300,0
2020-03-18,6.399800,6.479840,6.396100,6.399700,6.399700,0
2020-03-19,6.461580,6.544280,6.460550,6.471900,6.471900,0
2020-03-20,6.541310,6.550420,6.457960,6.541320,6.541320,0
2020-03-23,6.559120,6.608000,6.550680,6.557210,6.557210,0
2020-03-24,6.546500,6.546800,6.441540,6.546700,6.546700,0
2020-03-25,6.425930,6.466360,6.379180,6.436300,6.436300,0
2020-03-26,6.419000,6.497250,6.378860,6.418600,6.418600,0
2020-03-27,6.400100,6.468100,6.386750,6.399800,6.399800,0
2020-03-30,6.462200,6.586290,6.441800,6.459800,6.459800,0
2020-03-31,6.569500,6.599950,6.552400,6.565040,6.565040,0
2020-04-01,6.615200,6.692500,6.610100,6.612990,6.612990,0
2020-04-02,6.707600,6.709900,6.592050,6.707300,6.707300,0
2020-04-03,6.633700,6.740600,6.628500,6.632300,6.632300,0
2020-04-06,6.740400,6.787600,6.717810,6.740000,6.740000,0
2020-04-07,6.765100,6.772600,6.695520,6.765700,6.765700,0
2020-04-08,6.763500,6.790390,6.754020,6.757690,6.757690,0
2020-04-09,6.773000,6.788700,6.619460,6.772900,6.772900,0
2020-04-10,6.658040,6.723100,6.658040,6.686100,6.686100,0
2020-04-13,6.723200,6.795250,6.696460,6.722800,6.722800,0
2020-04-14,6.774500,6.815800,6.763300,6.767330,6.767330,0
2020-04-15,6.814070,6.907700,6.812800,6.816530,6.816530,0
2020-04-16,6.900600,6.945300,6.883930,6.897030,6.897030,0
2020-04-17,6.921800,6.954470,6.834000,6.922100,6.922100,0
2020-04-20,6.904800,6.951110,6.875560,6.904400,6.904400,0
2020-04-21,6.940900,6.995700,6.938400,6.940600,6.940600,0
2020-04-22,6.975000,6.997800,6.957200,6.974700,6.974700,0
2020-04-23,6.980600,6.996300,6.921800,6.980400,6.980400,0
2020-04-24,6.945680,6.993800,6.944560,6.956000,6.956000,0
2020-04-27,6.958290,6.991410,6.950200,6.965800,6.965800,0
2020-04-28,6.985300,6.999000,6.981650,6.985300,6.985300,0
2020-04-29,6.986700,6.990760,6.945200,6.987100,6.987100,0
2020-04-30,6.951800,6.988770,6.942960,6.951000,6.951000,0
2020-05-01,6.987760,7.039000,6.981760,6.989300,6.989300,0
2020-05-04,7.013600,7.049910,7.003790,7.016800,7.016800,0
2020-05-05,7.047100,7.098600,7.026630,7.044660,7.044660,0
2020-05-06,7.083900,7.192200,7.073650,7.083700,7.083700,0
2020-05-07,7.196720,7.266820,7.075570,7.197080,7.197080,0
2020-05-08,7.093500,7.167000,7.075860,7.088300,7.088300,0
2020-05-11,7.083200,7.103400,7.059540,7.094000,7.094000,0
2020-05-12,7.059800,7.067200,6.976120,7.063400,7.063400,0
2020-05-13,6.995200,6.996000,6.969600,6.992050,6.992050,0
2020-05-14,6.972300,6.972300,6.939640,6.969860,6.969860,0
2020-05-15,6.925800,6.927100,6.897410,6.925300,6.925300,0
2020-05-18,6.889800,6.895200,6.833100,6.883340,6.883340,0
2020-05-19,6.873530,6.877500,6.759690,6.877000,6.877000,0
2020-05-20,6.784600,6.795200,6.766680,6.779790,6.779790,0
2020-05-21,6.783800,6.811400,6.780040,6.784100,6.784100,0
2020-05-22,6.784600,6.815400,6.784600,6.790000,6.790000,0
2020-05-25,6.808800,6.815900,6.797490,6.809100,6.809100,0
2020-05-26,6.812050,6.816300,6.696500,6.814000,6.814000,0
2020-05-27,6.721830,6.780800,6.718500,6.725530,6.725530,0
2020-05-28,6.776190,6.818800,6.769380,6.775500,6.775500,0
2020-05-29,6.811050,6.839400,6.810830,6.811050,6.811050,0
2020-06-01,6.803500,6.823950,6.794050,6.804100,6.804100,0
2020-06-02,6.804000,6.814630,6.702600,6.804600,6.804600,0
2020-06-03,6.696200,6.765080,6.680450,6.696300,6.696300,0
2020-06-04,6.724600,6.766210,6.715700,6.724100,6.724100,0
2020-06-05,6.753200,6.784040,6.734500,6.748900,6.748900,0
2020-06-08,6.761900,6.791870,6.751910,6.761400,6.761400,0
2020-06-09,6.773200,6.803220,6.769300,6.775400,6.775400,0
2020-06-10,6.790400,6.794250,6.776500,6.787500,6.787500,0
2020-06-11,6.768200,6.847050,6.766960,6.769900,6.769900,0
2020-06-12,6.837500,6.839400,6.800780,6.835100,6.835100,0
2020-06-15,6.813400,6.857210,6.811500,6.813400,6.813400,0
2020-06-16,6.818210,6.848370,6.814670,6.822170,6.822170,0
2020-06-17,6.831000,6.857110,6.830500,6.830960,6.830960,0
2020-06-18,6.832750,6.857510,6.831100,6.831800,6.831800,0
2020-06-19,6.854350,6.857590,6.834100,6.853110,6.853110,0
2020-06-22,6.846800,6.857700,6.832700,6.846900,6.846900,0
2020-06-23,6.842500,6.858400,6.838420,6.842300,6.842300,0
2020-06-24,6.844400,6.858250,6.839270,6.844600,6.844600,0
2020-06-25,6.850600,6.857670,6.834000,6.850480,6.850480,0
2020-06-26,6.852740,6.855210,6.841600,6.852740,6.852740,0
2020-06-29,6.850530,6.855380,6.846700,6.850540,6.850540,0
2020-06-30,6.843500,6.854590,6.835520,6.849500,6.849500,0
2020-07-01,6.847400,6.855050,6.841000,6.847300,6.847300,0
2020-07-02,6.841600,6.854980,6.840100,6.845600,6.845600,0
2020-07-03,6.849420,6.873500,6.846800,6.848100,6.848100,0
2020-07-06,6.859300,6.865330,6.845500,6.858500,6.858500,0
2020-07-07,6.856200,6.865970,6.851800,6.856200,6.856200,0
2020-07-08,6.854170,6.864920,6.851000,6.853360,6.853360,0
2020-07-09,6.857910,6.865400,6.850200,6.857910,6.857910,0
2020-07-10,6.857790,6.866000,6.857300,6.857730,6.857730,0
2020-07-13,6.862500,6.867700,6.853400,6.859700,6.859700,0
2020-07-14,6.857290,6.865840,6.853800,6.855400,6.855400,0
2020-07-15,6.859900,6.865280,6.848300,6.863490,6.863490,0
2020-07-16,6.856130,6.858850,6.851100,6.852900,6.852900,0
2020-07-17,6.853800,6.866880,6.850400,6.855630,6.855630,0
2020-07-20,6.851900,6.858170,6.851000,6.851900,6.851900,0
2020-07-21,6.851500,6.857580,6.831700,6.853650,6.853650,0
2020-07-22,6.827090,6.851130,6.824800,6.826880,6.826880,0
2020-07-23,6.840500,6.848540,6.837100,6.840200,6.840200,0
2020-07-24,6.835590,6.849960,6.834730,6.835590,6.835590,0
2020-07-27,6.844070,6.876000,6.838200,6.840700,6.840700,0
2020-07-28,6.873500,6.968500,6.857800,6.879100,6.879100,0
2020-07-29,6.935990,7.000690,6.928100,6.938800,6.938800,0
2020-07-30,6.965400,7.001400,6.950000,6.970700,6.970700,0
2020-07-31,6.970200,6.981370,6.955790,6.969400,6.969400,0
2020-08-03,6.983090,6.986010,6.957300,6.969230,6.969230,0
2020-08-04,6.961930,6.975110,6.921300,6.960400,6.960400,0
2020-08-05,6.926520,7.050540,6.888130,6.926100,6.926100,0
2020-08-06,7.050300,7.306200,7.023470,7.049550,7.049550,0
2020-08-07,7.234680,7.356920,7.120500,7.223240,7.223240,0
2020-08-10,7.355500,7.355500,7.242300,7.299640,7.299640,0
2020-08-11,7.328100,7.345140,7.205660,7.328100,7.328100,0
2020-08-12,7.222860,7.326830,7.197510,7.224120,7.224120,0
2020-08-13,7.322700,7.356000,7.297400,7.319020,7.319020,0
2020-08-14,7.329320,7.381400,7.316000,7.332100,7.332100,0
2020-08-17,7.366400,7.395440,7.357850,7.366000,7.366000,0
2020-08-18,7.379800,7.399600,7.351730,7.373430,7.373430,0
2020-08-19,7.365300,7.379200,7.212600,7.364900,7.364900,0
2020-08-20,7.277800,7.349140,7.275500,7.277900,7.277900,0
2020-08-21,7.296600,7.345700,7.196500,7.296200,7.296200,0
2020-08-24,7.323920,7.381000,7.253530,7.284570,7.284570,0
2020-08-25,7.372600,7.403880,7.366300,7.372900,7.372900,0
2020-08-26,7.393210,7.412000,7.331200,7.393200,7.393200,0
2020-08-27,7.352470,7.373850,7.308380,7.348750,7.348750,0
2020-08-28,7.335210,7.367800,7.295670,7.352600,7.352600,0
2020-08-31,7.311840,7.362190,7.303770,7.324900,7.324900,0
2020-09-01,7.345840,7.373810,7.323100,7.352600,7.352600,0
2020-09-02,7.356900,7.388710,7.355200,7.359400,7.359400,0
