Date,Open,High,Low,Close,Adj Close,Volume
2019-10-14,19.580000,19.580000,18.059999,18.240000,18.240000,1030486
2019-10-15,18.400000,19.219999,18.400000,19.059999,19.059999,686509
2019-10-16,18.990000,19.000000,18.549999,18.990000,18.990000,497685
2019-10-17,19.000000,19.340000,18.820000,19.230000,19.230000,431679
2019-10-18,20.100000,20.740000,20.080000,20.280001,20.280001,900523
2019-10-21,20.360001,20.400000,19.790001,19.870001,19.870001,734577
2019-10-22,19.990000,19.990000,19.730000,19.879999,19.879999,758881
2019-10-23,20.100000,20.340000,20.059999,20.240000,20.240000,685885
2019-10-24,20.540001,20.700001,20.440001,20.600000,20.600000,955452
2019-10-25,20.559999,20.780001,20.340000,20.459999,20.459999,643430
2019-10-28,20.540001,20.540001,20.260000,20.400000,20.400000,170077
2019-10-30,20.340000,20.480000,19.799999,20.180000,20.180000,719859
2019-10-31,20.240000,20.580000,20.219999,20.420000,20.420000,706563
2019-11-01,20.700001,21.440001,20.580000,21.320000,21.320000,1540153
2019-11-04,21.740000,21.860001,21.459999,21.780001,21.780001,906624
2019-11-05,21.900000,22.000000,21.580000,21.700001,21.700001,719034
2019-11-06,21.940001,22.040001,21.180000,21.320000,21.320000,1259734
2019-11-07,21.600000,21.740000,21.320000,21.540001,21.540001,1132750
2019-11-08,21.620001,21.639999,21.219999,21.219999,21.219999,1054556
2019-11-11,21.000000,21.420000,20.600000,21.219999,21.219999,1388197
2019-11-12,21.240000,21.700001,21.200001,21.580000,21.580000,1678229
2019-11-13,21.620001,22.700001,21.500000,22.580000,22.580000,2190001
2019-11-14,22.500000,22.799999,22.219999,22.260000,22.260000,860781
2019-11-15,22.520000,23.620001,22.379999,23.400000,23.400000,2360542
2019-11-18,23.680000,24.680000,23.680000,24.420000,24.420000,1723228
2019-11-19,24.420000,25.040001,24.160000,24.780001,24.780001,1580722
2019-11-20,25.000000,25.080000,24.100000,24.379999,24.379999,932057
2019-11-21,24.180000,24.940001,24.139999,24.860001,24.860001,1048617
2019-11-22,23.100000,23.400000,22.680000,22.820000,22.820000,9971074
2019-11-25,22.959999,23.000000,22.139999,22.160000,22.160000,3162586
2019-11-26,22.180000,22.920000,22.120001,22.840000,22.840000,3656868
2019-11-27,22.860001,22.860001,21.840000,21.920000,21.920000,6833872
